
----------------------------------
Learning...
181: cost=0.043880, w1=0.695966, w2=0.161592
182: cost=0.043556, w1=0.697091, w2=0.160994
183: cost=0.043234, w1=0.698212, w2=0.160398
184: cost=0.042915, w1=0.699329, w2=0.159804
185: cost=0.042597, w1=0.700442, w2=0.159213
186: cost=0.042283, w1=0.701551, w2=0.158624
187: cost=0.041970, w1=0.702656, w2=0.158036
188: cost=0.041660, w1=0.703756, w2=0.157451
189: cost=0.041352, w1=0.704853, w2=0.156869
190: cost=0.041047, w1=0.705945, w2=0.156288
191: cost=0.040743, w1=0.707034, w2=0.155710
192: cost=0.040442, w1=0.708118, w2=0.155133
193: cost=0.040143, w1=0.709199, w2=0.154559
194: cost=0.039847, w1=0.710275, w2=0.153987
195: cost=0.039552, w1=0.711347, w2=0.153417
196: cost=0.039260, w1=0.712416, w2=0.152849
197: cost=0.038970, w1=0.713480, w2=0.152283
198: cost=0.038682, w1=0.714541, w2=0.151720
199: cost=0.038396, w1=0.715597, w2=0.151158
200: cost=0.038113, w1=0.716650, w2=0.150598
201: cost=0.037831, w1=0.717699, w2=0.150041
202: cost=0.037551, w1=0.718744, w2=0.149486
203: cost=0.037274, w1=0.719785, w2=0.148932
204: cost=0.036998, w1=0.720822, w2=0.148381
205: cost=0.036725, w1=0.721855, w2=0.147832
206: cost=0.036454, w1=0.722885, w2=0.147285
207: cost=0.036184, w1=0.723911, w2=0.146740
208: cost=0.035917, w1=0.724933, w2=0.146196
209: cost=0.035652, w1=0.725951, w2=0.145655
210: cost=0.035388, w1=0.726965, w2=0.145116
211: cost=0.035127, w1=0.727976, w2=0.144579
212: cost=0.034867, w1=0.728983, w2=0.144044
213: cost=0.034610, w1=0.729986, w2=0.143511
214: cost=0.034354, w1=0.730985, w2=0.142979
215: cost=0.034100, w1=0.731981, w2=0.142450
216: cost=0.033848, w1=0.732973, w2=0.141923
217: cost=0.033598, w1=0.733961, w2=0.141398
218: cost=0.033350, w1=0.734946, w2=0.140874
219: cost=0.033103, w1=0.735927, w2=0.140353
220: cost=0.032859, w1=0.736905, w2=0.139833
221: cost=0.032616, w1=0.737878, w2=0.139316
222: cost=0.032375, w1=0.738849, w2=0.138800
223: cost=0.032135, w1=0.739815, w2=0.138286
224: cost=0.031898, w1=0.740778, w2=0.137774
225: cost=0.031662, w1=0.741738, w2=0.137264
226: cost=0.031428, w1=0.742694, w2=0.136756
227: cost=0.031196, w1=0.743646, w2=0.136250
228: cost=0.030966, w1=0.744595, w2=0.135746
229: cost=0.030737, w1=0.745540, w2=0.135243
230: cost=0.030510, w1=0.746482, w2=0.134743
231: cost=0.030284, w1=0.747421, w2=0.134244
232: cost=0.030061, w1=0.748356, w2=0.133747
233: cost=0.029838, w1=0.749287, w2=0.133252
234: cost=0.029618, w1=0.750215, w2=0.132759
235: cost=0.029399, w1=0.751140, w2=0.132268
236: cost=0.029182, w1=0.752061, w2=0.131778
237: cost=0.028966, w1=0.752978, w2=0.131290
238: cost=0.028752, w1=0.753893, w2=0.130804
239: cost=0.028540, w1=0.754804, w2=0.130320
240: cost=0.028329, w1=0.755711, w2=0.129838
241: cost=0.028119, w1=0.756616, w2=0.129357
242: cost=0.027912, w1=0.757516, w2=0.128878
243: cost=0.027705, w1=0.758414, w2=0.128401
